Hit frequency;"=SUM(b2:b42)";
0;134249;"=b2/b$1"
1;135753;"=b3/b$1"
2;137766;"=b4/b$1"
3;140729;"=b5/b$1"
4;140024;"=b6/b$1"
5;140055;"=b7/b$1"
6;141016;"=b8/b$1"
7;142540;"=b9/b$1"
8;142453;"=b10/b$1"
9;141589;"=b11/b$1"
10;141989;"=b12/b$1"
11;162844;"=b13/b$1"
12;137043;"=b14/b$1"
13;144792;"=b15/b$1"
14;148297;"=b16/b$1"
15;153196;"=b17/b$1"
16;157940;"=b18/b$1"
17;162419;"=b19/b$1"
18;169445;"=b20/b$1"
19;166947;"=b21/b$1"
20;164546;"=b22/b$1"
21;162475;"=b23/b$1"
22;160697;"=b24/b$1"
23;159748;"=b25/b$1"
24;158286;"=b26/b$1"
25;160182;"=b27/b$1"
26;161337;"=b28/b$1"
27;161937;"=b29/b$1"
28;161125;"=b30/b$1"
29;160274;"=b31/b$1"
30;160483;"=b32/b$1"
31;0;"=b33/b$1"
32;159125;"=b34/b$1"
33;155133;"=b35/b$1"
34;150900;"=b36/b$1"
35;145900;"=b37/b$1"
36;140784;"=b38/b$1"
37;135970;"=b39/b$1"
38;130207;"=b40/b$1"
39;132021;"=b41/b$1"
40;133790;"=b42/b$1"
